iter	Passed	Remaining
0	138	138817
1	140	70138
2	141	47181
3	143	35784
4	145	28877
5	146	24233
6	147	20924
7	149	18502
8	150	16569
9	151	15006
10	152	13733
11	153	12666
12	154	11749
13	155	10954
14	156	10263
15	157	9657
16	157	9121
17	158	8638
18	158	8206
19	159	7816
20	160	7465
21	160	7144
22	161	6852
23	162	6588
24	162	6343
25	163	6116
26	163	5903
27	164	5706
28	164	5522
29	165	5354
30	166	5195
31	166	5045
32	167	4905
33	168	4773
34	168	4648
35	169	4532
36	169	4420
37	170	4314
38	171	4214
39	171	4121
40	172	4031
41	172	3944
42	173	3862
43	174	3786
44	174	3711
45	175	3639
46	176	3570
47	176	3506
48	177	3447
49	178	3389
50	178	3330
51	179	3272
52	180	3217
53	180	3166
54	181	3115
55	181	3066
56	182	3017
57	183	2973
58	183	2929
59	184	2886
60	184	2844
61	185	2804
62	185	2766
63	186	2728
64	187	2691
65	187	2656
66	188	2622
67	188	2588
68	189	2556
69	190	2527
70	191	2499
71	191	2471
72	192	2443
73	193	2416
74	193	2390
75	194	2364
76	195	2339
77	195	2315
78	196	2292
79	197	2269
80	198	2246
81	198	2225
82	199	2200
83	199	2179
84	200	2159
85	201	2140
86	202	2121
87	202	2101
88	203	2083
89	204	2065
90	205	2050
91	206	2034
92	206	2017
93	207	2000
94	208	1983
95	208	1967
96	209	1951
97	210	1935
98	210	1920
99	211	1905
100	212	1890
101	213	1876
102	213	1863
103	214	1850
104	215	1837
105	216	1824
106	217	1812
107	217	1799
108	218	1787
109	219	1777
110	220	1766
111	221	1755
112	222	1743
113	222	1732
114	223	1721
115	224	1710
116	225	1698
117	225	1688
118	226	1678
119	227	1668
120	228	1659
121	229	1648
122	229	1639
123	230	1629
124	231	1620
125	232	1612
126	233	1601
127	233	1593
128	234	1586
129	235	1579
130	236	1570
131	237	1562
132	238	1553
133	239	1545
134	240	1538
135	240	1530
136	241	1522
137	242	1514
138	243	1507
139	244	1499
140	244	1492
141	245	1483
142	246	1476
143	247	1469
144	248	1462
145	248	1456
146	249	1449
147	250	1443
148	251	1436
149	252	1429
150	253	1423
151	253	1416
152	254	1410
153	255	1404
154	256	1397
155	257	1392
156	258	1386
157	259	1380
158	259	1374
159	260	1369
160	261	1361
161	262	1355
162	262	1349
163	263	1345
164	264	1339
165	265	1334
166	266	1328
167	267	1322
168	267	1317
169	268	1311
170	269	1305
171	270	1300
172	270	1295
173	271	1289
174	272	1284
175	273	1279
176	274	1274
177	274	1269
178	275	1263
179	276	1259
180	277	1254
181	277	1249
182	279	1245
183	279	1241
184	280	1236
185	281	1231
186	282	1226
187	282	1221
188	283	1217
189	284	1212
190	285	1208
191	286	1203
192	286	1199
193	287	1195
194	288	1190
195	289	1186
196	290	1182
197	290	1178
198	291	1174
199	292	1170
200	293	1167
201	294	1163
202	295	1159
203	296	1155
204	297	1152
205	297	1148
206	298	1144
207	299	1140
208	300	1137
209	301	1134
210	302	1130
211	303	1127
212	304	1123
213	305	1123
214	306	1119
215	308	1118
216	309	1114
217	309	1111
218	310	1107
219	311	1103
220	312	1100
221	313	1097
222	314	1094
223	314	1091
224	315	1087
225	316	1084
226	317	1080
227	318	1077
228	318	1073
229	319	1070
230	320	1067
231	321	1064
232	322	1061
233	323	1058
234	324	1055
235	324	1052
236	325	1048
237	326	1045
238	327	1041
239	327	1038
240	328	1035
241	329	1032
242	330	1029
243	331	1026
244	331	1022
245	332	1019
246	333	1016
247	334	1013
248	335	1010
249	335	1007
250	336	1004
251	337	1002
252	338	999
253	339	996
254	340	993
255	340	990
256	342	989
257	343	987
258	344	984
259	344	981
260	345	978
261	346	975
262	346	972
263	347	969
264	348	966
265	349	964
266	350	961
267	351	958
268	351	956
269	352	953
270	353	951
271	354	948
272	355	945
273	356	943
274	356	940
275	357	937
276	358	935
277	359	932
278	359	929
279	360	927
280	361	924
281	361	921
282	362	918
283	363	916
284	364	913
285	364	910
286	365	908
287	366	905
288	367	903
289	368	901
290	368	898
291	369	896
292	370	894
293	371	892
294	372	890
295	373	888
296	374	886
297	375	884
298	376	883
299	378	883
300	379	880
301	380	879
302	381	876
303	382	875
304	383	874
305	384	872
306	385	870
307	386	867
308	386	865
309	387	863
310	388	861
311	389	858
312	390	856
313	391	854
314	391	852
315	392	850
316	393	847
317	394	845
318	395	843
319	396	842
320	397	840
321	398	838
322	399	836
323	399	834
324	400	831
325	401	829
326	402	827
327	402	825
328	403	823
329	404	821
330	405	819
331	406	817
332	406	815
333	407	812
334	408	810
335	409	808
336	410	807
337	411	805
338	412	804
339	413	802
340	414	800
341	415	798
342	415	796
